frameCount bodySize centerOfMassHeightAdjusted dispersion leftPollock rightPollock leftRondDuBras rightRondDuBras momentumFluid momentumHarsh momentumTotal handRadiusLeft handRadiusRight joint0PositionX joint0PositionY joint0PositionZ joint0OrientationW joint0OrientationX joint0OrientationY joint0OrientationZ joint1PositionX joint1PositionY joint1PositionZ joint1OrientationW joint1OrientationX joint1OrientationY joint1OrientationZ joint2PositionX joint2PositionY joint2PositionZ joint2OrientationW joint2OrientationX joint2OrientationY joint2OrientationZ joint3PositionX joint3PositionY joint3PositionZ joint3OrientationW joint3OrientationX joint3OrientationY joint3OrientationZ joint4PositionX joint4PositionY joint4PositionZ joint4OrientationW joint4OrientationX joint4OrientationY joint4OrientationZ joint5PositionX joint5PositionY joint5PositionZ joint5OrientationW joint5OrientationX joint5OrientationY joint5OrientationZ joint6PositionX joint6PositionY joint6PositionZ joint6OrientationW joint6OrientationX joint6OrientationY joint6OrientationZ joint7PositionX joint7PositionY joint7PositionZ joint7OrientationW joint7OrientationX joint7OrientationY joint7OrientationZ joint8PositionX joint8PositionY joint8PositionZ joint8OrientationW joint8OrientationX joint8OrientationY joint8OrientationZ joint9PositionX joint9PositionY joint9PositionZ joint9OrientationW joint9OrientationX joint9OrientationY joint9OrientationZ joint10PositionX joint10PositionY joint10PositionZ joint10OrientationW joint10OrientationX joint10OrientationY joint10OrientationZ joint11PositionX joint11PositionY joint11PositionZ joint11OrientationW joint11OrientationX joint11OrientationY joint11OrientationZ joint12PositionX joint12PositionY joint12PositionZ joint12OrientationW joint12OrientationX joint12OrientationY joint12OrientationZ joint13PositionX joint13PositionY joint13PositionZ joint13OrientationW joint13OrientationX joint13OrientationY joint13OrientationZ joint14PositionX joint14PositionY joint14PositionZ joint14OrientationW joint14OrientationX joint14OrientationY joint14OrientationZ joint15PositionX joint15PositionY joint15PositionZ joint15OrientationW joint15OrientationX joint15OrientationY joint15OrientationZ joint16PositionX joint16PositionY joint16PositionZ joint16OrientationW joint16OrientationX joint16OrientationY joint16OrientationZ joint17PositionX joint17PositionY joint17PositionZ joint17OrientationW joint17OrientationX joint17OrientationY joint17OrientationZ joint18PositionX joint18PositionY joint18PositionZ joint18OrientationW joint18OrientationX joint18OrientationY joint18OrientationZ joint19PositionX joint19PositionY joint19PositionZ joint19OrientationW joint19OrientationX joint19OrientationY joint19OrientationZ joint20PositionX joint20PositionY joint20PositionZ joint20OrientationW joint20OrientationX joint20OrientationY joint20OrientationZ joint21PositionX joint21PositionY joint21PositionZ joint21OrientationW joint21OrientationX joint21OrientationY joint21OrientationZ joint22PositionX joint22PositionY joint22PositionZ joint22OrientationW joint22OrientationX joint22OrientationY joint22OrientationZ joint23PositionX joint23PositionY joint23PositionZ joint23OrientationW joint23OrientationX joint23OrientationY joint23OrientationZ joint24PositionX joint24PositionY joint24PositionZ joint24OrientationW joint24OrientationX joint24OrientationY joint24OrientationZ 
24 0.17695323 -0.19209339 2.6796966 0 0 0 0 0.0 0.0 0.0 0.5 0.5 0.075772345 -0.06683966 2.840763 0.09005413 -0.18965618 0.97290075 -0.09687607 -0.025844235 0.19596744 2.776409 0.09002881 -0.18965366 0.9729031 -0.096881 -0.130746 0.4518818 2.7046032 0.09381919 -0.20208393 0.9665171 -0.12729798 -0.16661802 0.5899116 2.6575608 0.0 0.0 0.0 0.0 -0.2482076 0.3214437 2.6819181 -0.051247798 0.822429 -0.5422908 0.16402742 -0.3586936 0.111530125 2.7499514 -0.0048991945 0.8099246 -0.2732533 -0.51897085 -0.42561483 -0.08259654 2.7488227 0.00919906 0.9836573 -0.16499016 0.0714978 -0.4596069 -0.16089772 2.7322857 -0.08035213 0.9713709 -0.2080119 0.08193481 0.015869156 0.3604835 2.7426186 0.08944668 0.7818875 0.61696833 0.0011548694 0.21166228 0.3344019 2.9202232 0.052369487 0.58600104 0.66945004 0.45353824 0.3615566 0.30025142 3.0429158 0.13893081 0.6836378 0.6276037 0.34561715 0.38407347 0.29461187 3.0619683 0.14367159 0.6853861 0.620855 0.35234013 0.0111952815 -0.09509234 2.79494 -0.1813051 0.7815399 -0.54690266 0.23920979 0.03704281 -0.45867196 2.8265464 0.055882856 0.7659884 -6.0663087E-4 -0.6404206 0.10782075 -0.7653327 2.9718657 -0.22110435 -0.63745075 0.093784906 0.73210233 0.0992865 -0.8532604 2.8479521 0.0 0.0 0.0 0.0 0.13832995 -0.03683817 2.8135552 -0.02260479 0.50689566 0.83712393 -0.20437548 -0.0035516317 -0.31590313 2.7796314 0.020898229 0.92109567 -0.23760138 0.30772015 0.09556148 -0.69893324 2.9351835 0.08293103 0.7925878 0.2064755 0.56771034 0.0965746 -0.822655 2.9006631 0.0 0.0 0.0 0.0 -0.10440446 0.38825148 2.7250004 0.09033787 -0.19902629 0.97012454 -0.10529028 -0.52108216 -0.22025442 2.7562163 0.0 0.0 0.0 0.0 -0.46298483 -0.18454435 2.690969 0.0 0.0 0.0 0.0 0.423147 0.27484205 3.0661871 0.0 0.0 0.0 0.0 0.41401643 0.28845403 3.0388572 0.0 0.0 0.0 0.0 
25 0.17693913 -0.22523008 2.7140338 0 0 0 0 8.592904E-7 0.14999916 13.269147 0.5 0.5 0.037859146 -0.08671975 2.8517702 0.07593726 -0.14629158 0.98071826 -0.10499528 -0.038761545 0.18806036 2.782973 0.089074016 -0.14790584 0.9795214 -0.10357387 -0.13035011 0.44959697 2.7084813 0.10273339 -0.17727685 0.96917796 -0.13679469 -0.16592392 0.5888268 2.6636672 0.0 0.0 0.0 0.0 -0.24951161 0.3217182 2.6867335 -0.04352782 0.81384814 -0.5498923 0.1826888 -0.35121736 0.10677421 2.7477865 -0.03155215 0.75542146 -0.25164464 -0.6041671 -0.42843822 -0.09229615 2.7330935 -0.047021102 0.9813925 -0.17033546 -0.07512425 -0.4618531 -0.16620877 2.7233155 -0.08457837 0.9718081 -0.21094774 0.062741496 0.02016684 0.36600906 2.750109 0.10897815 0.7583575 0.64260375 -0.008833894 0.22063479 0.33992818 2.925745 -0.10550534 0.47044495 0.661267 0.5746964 0.37760824 0.3154552 3.0414681 0.061749496 0.64464915 0.65635455 0.38705713 0.3927045 0.3032308 3.06075 0.13261002 0.6813765 0.626631 0.3542235 -0.028663816 -0.10827075 2.8071632 -0.17290182 0.7466564 -0.59371114 0.245186 0.018022507 -0.46216205 2.8273892 0.05492559 0.76145244 0.013729764 -0.64574367 0.097412564 -0.7628381 2.9677472 -0.2236599 -0.66006076 0.07771191 0.7129214 0.104575515 -0.82913834 2.8348145 0.0 0.0 0.0 0.0 0.101208165 -0.06592485 2.824038 -0.036394134 0.5536581 0.80332243 -0.21635908 0.009368069 -0.37229186 2.8035471 0.023045436 0.85943055 -0.15658495 0.4861369 0.10061678 -0.7452755 2.9558759 0.08249824 0.7723784 0.20505172 0.5954659 0.09707659 -0.8496959 2.895795 0.0 0.0 0.0 0.0 -0.10647636 0.3844902 2.7296796 0.102772474 -0.16001046 0.9747592 -0.11695648 -0.52384657 -0.22499794 2.7385776 0.0 0.0 0.0 0.0 -0.4840134 -0.18746269 2.679995 0.0 0.0 0.0 0.0 0.43316364 0.2831272 3.0674734 0.0 0.0 0.0 0.0 0.4302933 0.30976507 3.0377789 0.0 0.0 0.0 0.0 
26 0.176953 -0.2161206 2.7784517 0 0 0 0 0.048954457 0.22854558 21.45532 0.5 0.5 -0.02381626 -0.10331954 2.864747 0.07629004 -0.097698614 0.9865392 -0.10665527 -0.0697664 0.17826371 2.798043 0.10264638 -0.09977244 0.9842106 -0.104109 -0.1329081 0.44854152 2.720311 0.12953304 -0.13608463 0.972134 -0.1402053 -0.16541426 0.589338 2.6761732 0.0 0.0 0.0 0.0 -0.25691935 0.32494888 2.6964023 -0.039715137 0.7996166 -0.5645059 0.20091972 -0.36237615 0.10595262 2.7439578 -0.085054606 0.6821733 -0.22605921 -0.6901467 -0.45697215 -0.08950469 2.707492 -0.11225307 0.9598446 -0.19366983 -0.16908482 -0.4785597 -0.16825001 2.703308 -0.08978878 0.97107744 -0.21796018 0.03794779 0.018429583 0.37670687 2.7682478 0.14319032 0.71617126 0.68307376 0.0023435745 0.22412476 0.3572559 2.9301503 -0.28894967 0.32258472 0.610218 0.66338617 0.392238 0.35085574 3.0304098 -0.00850659 0.6133133 0.68669677 0.39015642 0.40735736 0.32826352 3.0544207 0.1188513 0.67602235 0.63289297 0.3582106 -0.09139559 -0.11805645 2.8190775 -0.16911352 0.7149515 -0.62816095 0.256231 -0.02275879 -0.46598187 2.8281877 0.05662694 0.7582957 0.03714591 -0.6483835 0.07106566 -0.75936043 2.959815 -0.22688536 -0.694308 0.046954647 0.68136233 0.10766046 -0.7939867 2.8121328 0.0 0.0 0.0 0.0 0.04149661 -0.08973019 2.8378005 -0.046267726 0.59286696 0.7751823 -0.21321492 0.012732473 -0.4217552 2.8261309 0.011525778 0.76771086 -0.06744814 0.63713264 0.10631421 -0.78964585 2.9784496 0.07789971 0.7548165 0.21194515 0.6158427 0.09441045 -0.87011653 2.8783712 0.0 0.0 0.0 0.0 -0.114809096 0.38164026 2.742225 0.12855625 -0.116600886 0.97735703 -0.12104072 -0.54924846 -0.21570405 2.7122228 0.0 0.0 0.0 0.0 -0.515338 -0.1738981 2.6535304 0.0 0.0 0.0 0.0 0.45464754 0.3149755 3.062972 0.0 0.0 0.0 0.0 0.44814748 0.3464872 3.0298712 0.0 0.0 0.0 0.0 
27 0.17686485 -0.0120803965 2.89177 0 0 0 0 0.09242065 0.29345438 46.778862 0.5 0.5 -0.09581157 -0.088036895 2.8939695 0.105566986 -0.056248054 0.98641145 -0.11262412 -0.110867456 0.18766591 2.822323 0.14137512 -0.05951277 0.98205155 -0.10975529 -0.14911179 0.46637073 2.7459142 0.17477402 -0.09299869 0.9691367 -0.14689879 -0.16944174 0.6074327 2.702571 0.0 0.0 0.0 0.0 -0.2800884 0.3499664 2.7143419 -0.047651134 0.7788132 -0.5803002 0.23330495 -0.4102156 0.14744651 2.72242 -0.18291318 0.6633492 -0.22063826 -0.69125223 -0.51891625 -0.022738488 2.6546798 -0.14889532 0.94653076 -0.2800946 -0.05879572 -0.52401555 -0.13276951 2.6615598 -0.09360585 0.96644396 -0.23636006 0.036850795 -0.0010138953 0.40751705 2.804344 0.19523811 0.66790754 0.71774817 0.024884693 0.22471285 0.41444963 2.9401956 -0.44106197 0.253462 0.55349815 0.65944016 0.40818492 0.42905787 3.0115077 0.072805144 0.6369655 0.73196125 0.23066652 0.42432317 0.38493893 3.0401647 0.11745026 0.670718 0.64805305 0.3411306 -0.16506642 -0.09311175 2.8453693 -0.17936656 0.6775223 -0.6543336 0.2839697 -0.083073735 -0.452589 2.8414683 0.05804284 0.7640933 0.060812123 -0.6396049 -0.033650476 -0.69039226 3.0128517 -0.27533814 -0.7307556 0.13105935 0.6107441 0.01909744 -0.76310027 2.9032674 0.0 0.0 0.0 0.0 -0.02811901 -0.08124052 2.869754 -0.031593576 0.6338397 0.74770916 -0.1953967 -0.015737029 -0.42391047 2.8607154 -0.019711131 0.64915085 -0.0051477496 0.7603868 0.09890048 -0.80287385 2.9911637 0.04237207 0.7469978 0.21504319 0.6276587 0.09088739 -0.8723556 2.877082 0.0 0.0 0.0 0.0 -0.13682786 0.39730364 2.767048 0.17595527 -0.07601679 0.9731365 -0.12754016 -0.61278415 -0.1516417 2.6512005 0.0 0.0 0.0 0.0 -0.5791575 -0.09504602 2.5831454 0.0 0.0 0.0 0.0 0.48018718 0.40908813 3.030007 0.0 0.0 0.0 0.0 0.46510017 0.4151537 3.0061145 0.0 0.0 0.0 0.0 
28 0.17691858 0.35954013 3.0389166 0 0 0 0 0.1307924 0.3472014 69.262566 0.5 0.5 -0.1719779 -0.05122322 2.9615016 0.13613126 -0.02991192 0.9819982 -0.12748796 -0.16482286 0.21626395 2.870446 0.17942491 -0.034901407 0.975206 -0.12474643 -0.18877137 0.5025866 2.7964008 0.21920455 -0.061013475 0.9601275 -0.16242516 -0.18796812 0.6426674 2.7527838 0.0 0.0 0.0 0.0 -0.3141218 0.3873074 2.748422 -0.07046151 0.75283986 -0.590376 0.2823536 -0.46722266 0.22368431 2.692428 -0.34007207 0.687472 -0.22544315 -0.60075676 -0.58385515 0.12776643 2.5651186 -0.2618208 0.8978323 -0.35144502 0.042819753 -0.58958834 -0.020612827 2.5849004 -0.11552954 0.95800394 -0.2597611 0.03749073 -0.049795732 0.46491885 2.877129 0.23576911 0.6342809 0.73559994 0.03151697 0.1955255 0.49449727 2.9487717 -0.5990734 0.2574324 0.48052377 0.58646107 0.40013984 0.52096343 2.9798763 0.32860002 0.55577385 0.74736685 -0.15678139 0.42956936 0.47070244 3.0142574 0.1367745 0.66504925 0.6692129 0.30192152 -0.2417635 -0.04530085 2.915349 -0.1896367 0.6404518 -0.6743095 0.31490672 -0.12449485 -0.36858335 2.9512632 0.11657153 0.8494619 0.14021459 -0.49514192 -0.16596381 -0.639055 3.1171675 -0.2113472 -0.7604542 0.23832005 0.56590235 -0.17106974 -0.736833 3.0889888 0.0 0.0 0.0 0.0 -0.104873136 -0.048168205 2.9426806 -0.0037679644 0.6680743 0.72098863 -0.18395054 -0.059447266 -0.40313792 2.906401 -0.061066702 0.5700051 0.00615504 0.8193455 0.076892 -0.79048777 2.9963343 -0.01086258 0.77147084 0.2072269 0.6014747 0.06076296 -0.85897636 2.8756862 0.0 0.0 0.0 0.0 -0.18027152 0.4309032 2.8167999 0.22153726 -0.04928331 0.96346545 -0.1422208 -0.67038476 0.0027525872 2.536219 0.0 0.0 0.0 0.0 -0.64160943 0.049077995 2.4819098 0.0 0.0 0.0 0.0 0.48443568 0.4956582 2.9964013 0.0 0.0 0.0 0.0 0.46561122 0.5228617 2.9553914 0.0 0.0 0.0 0.0 
29 0.17705329 0.7893433 3.2168415 0 0 0 0 0.19003949 0.36625525 88.66364 0.5625 0.5 -0.23530477 -0.023683503 3.040471 0.1559189 -0.021387767 0.9741607 -0.16199666 -0.22147253 0.24419954 2.9340076 0.20894805 -0.029795889 0.9644304 -0.15914457 -0.23085392 0.52435786 2.8467011 0.2584959 -0.04841484 0.9450712 -0.19410361 -0.21702005 0.66512555 2.8065116 0.0 0.0 0.0 0.0 -0.35021877 0.40792534 2.789471 -0.10028087 0.73343945 -0.5772033 0.34474164 -0.5058888 0.32808346 2.6500237 -0.5240834 0.7116101 -0.24946986 -0.3958693 -0.6101292 0.27069828 2.4787872 -0.41763705 0.76377904 -0.44118488 0.21812113 -0.632408 0.25031683 2.4101741 -0.26948637 0.8712293 -0.39597672 0.107419595 -0.09953635 0.49562228 2.9291341 0.26508304 0.6122811 0.7447927 0.011254691 0.15318944 0.5640147 2.938806 -0.71889496 0.2714833 0.38842496 0.5085399 0.3359116 0.6368545 2.8983164 0.26782835 0.4703256 0.767259 -0.34405753 0.39587513 0.58163273 2.9565468 0.13609473 0.65472597 0.69751537 0.25745818 -0.299094 -0.014520325 2.987298 -0.19475779 0.604863 -0.6908736 0.3448245 -0.20960638 -0.34032544 3.0752375 0.14433505 0.874329 0.08370258 -0.4557522 -0.30215096 -0.61669964 3.217138 -0.16221938 -0.7973847 0.30357906 0.49568385 -0.32399142 -0.74832153 3.233593 0.0 0.0 0.0 0.0 -0.16913153 -0.023014458 3.0255923 0.027724909 0.69222105 0.6954284 -0.19089502 -0.13139734 -0.37827975 2.9586837 -0.09173013 0.5824462 -0.018930938 0.807455 -0.026007619 -0.76418173 3.0360959 0.021501457 0.770908 0.17176981 0.6129712 -0.050589673 -0.84027755 2.9196746 0.0 0.0 0.0 0.0 -0.22648403 0.4528834 2.8697803 0.26158887 -0.04356692 0.94815254 -0.17515716 -0.69112957 0.25500554 2.3701057 0.0 0.0 0.0 0.0 -0.62570363 0.30044687 2.338184 0.0 0.0 0.0 0.0 0.44443697 0.61844057 2.923868 0.0 0.0 0.0 0.0 0.4105467 0.6475926 2.8692136 0.0 0.0 0.0 0.0 
30 0.17732464 1.1219091 3.3328338 0 0 0 0 0.24591208 0.37693846 104.62887 0.6171875 0.5625 -0.28795934 -0.0050316593 3.1055238 0.16371702 -0.014865231 0.96788436 -0.1901891 -0.27448708 0.2627289 2.9957714 0.21835116 -0.025084544 0.95726085 -0.18800342 -0.27156842 0.5284314 2.8910038 0.26661673 -0.039856587 0.9367962 -0.22302416 -0.2460816 0.6689316 2.8496122 0.0 0.0 0.0 0.0 -0.3886649 0.4149544 2.8323016 -0.10678813 0.7183985 -0.57231236 0.3807339 -0.5127865 0.40340048 2.6165793 -0.6628308 0.6859672 -0.09297868 -0.28541052 -0.57170665 0.41255295 2.4078383 -0.555758 0.5779731 -0.4885785 0.3440512 -0.58742183 0.4593372 2.306747 -0.48164722 0.68066 -0.5097773 0.21176654 -0.14359763 0.50274724 2.9664023 0.27605957 0.59961545 0.75052047 -0.03116854 0.09053284 0.60133857 2.9133682 -0.7931516 0.3037739 0.30446467 0.43119973 0.25156194 0.7153387 2.8156416 0.0250244 0.42587692 0.80926174 -0.40385407 0.29608944 0.72246134 2.8233697 -0.10975546 0.5164018 0.8426515 0.10593137 -0.35280618 -7.913078E-4 3.0575523 -0.18201205 0.59307367 -0.69307923 0.3671191 -0.29061884 -0.33225843 3.1730793 0.15556069 0.8831 0.029138694 -0.44168565 -0.4301293 -0.6564684 3.2454243 -0.07141407 -0.8365187 0.2492027 0.48273668 -0.4140074 -0.7805672 3.2182531 0.0 0.0 0.0 0.0 -0.22189948 -0.003241647 3.0949788 0.048958335 0.6901175 0.69345164 -0.20116152 -0.2246961 -0.3414146 2.9865208 -0.1103511 0.6154481 -0.093285464 0.7748188 -0.13198048 -0.738235 3.0814052 0.05779732 0.75654113 0.1521525 0.63336784 -0.17030329 -0.8140652 3.0004199 0.0 0.0 0.0 0.0 -0.2696228 0.4615249 2.9164991 0.2720379 -0.038610384 0.939798 -0.20318559 -0.6062749 0.5025788 2.2494113 0.0 0.0 0.0 0.0 -0.5732009 0.46282303 2.264844 0.0 0.0 0.0 0.0 0.34366035 0.7542318 2.8066077 0.0 0.0 0.0 0.0 0.28754032 0.77224517 2.7448728 0.0 0.0 0.0 0.0 
31 0.17758851 1.2781639 3.3106928 0 0 0 0 0.325771 0.35365197 124.92161 0.66503906 0.6171875 -0.33903107 -0.0069083823 3.1798825 0.16636412 -0.01113468 0.96304196 -0.21153864 -0.32569692 0.2581827 3.0641186 0.2185969 -0.021972023 0.95270264 -0.20996495 -0.31124127 0.515676 2.9364762 0.26470742 -0.03569333 0.93187076 -0.24548054 -0.27192235 0.65764207 2.8885677 0.0 0.0 0.0 0.0 -0.4220168 0.39782196 2.8786104 -0.101518646 0.73238844 -0.5418488 0.39962626 -0.46937567 0.44888595 2.6244717 -0.7520584 0.63433933 0.05796393 -0.16929895 -0.45473498 0.51753193 2.4103765 -0.7042947 0.38964307 -0.409282 0.42969245 -0.4366113 0.5874671 2.3177657 -0.6993594 0.42858014 -0.47975266 0.31153315 -0.18489546 0.49720457 2.997767 0.2755153 0.58181983 0.7610414 -0.07995701 0.027017474 0.60409915 2.8883653 -0.8274908 0.3476624 0.2013249 0.3922476 0.093455665 0.727473 2.725705 -0.24032897 0.36607373 0.80563045 -0.39898813 0.14736545 0.7872439 2.7114007 -0.3414057 0.3337962 0.87702626 -0.05335894 -0.39608604 -0.0033814008 3.1196508 -0.16681504 0.59242606 -0.68768895 0.385082 -0.3886311 -0.35551482 3.1657166 0.041630305 0.8876188 0.005747923 -0.45865768 -0.55479527 -0.6560454 3.2888904 -0.035565145 -0.83841634 0.2545426 0.4806258 -0.5272424 -0.7911794 3.2242026 0.0 0.0 0.0 0.0 -0.27199614 -0.004140492 3.1664965 0.061491147 0.6756404 0.7029253 -0.21360038 -0.28428936 -0.31909317 3.054422 -0.0702998 0.5859165 -0.0905299 0.80222446 -0.31780773 -0.7117317 3.1998842 0.14017919 0.63756096 0.122041196 0.7476441 -0.30502412 -0.79987806 3.1271567 0.0 0.0 0.0 0.0 -0.31415677 0.45171455 2.9694026 0.27016184 -0.035916258 0.93552756 -0.2247469 -0.4037474 0.6513059 2.264906 0.0 0.0 0.0 0.0 -0.41922837 0.57727176 2.291975 0.0 0.0 0.0 0.0 0.17995064 0.83967614 2.6918519 0.0 0.0 0.0 0.0 0.12862743 0.80335647 2.6599555 0.0 0.0 0.0 0.0 
32 0.1774731 1.2839284 3.231937 0 0 0 0 0.36816677 0.35934275 134.08476 0.66503906 0.6171875 -0.38359615 -0.015134116 3.2384095 0.16625196 0.005199306 0.96076703 -0.22194578 -0.36247683 0.24340175 3.1210709 0.20883372 -0.004291435 0.95254457 -0.2214255 -0.3362167 0.49765682 2.9814694 0.24753863 -0.012905194 0.93388295 -0.25772238 -0.30852354 0.6367182 2.931865 0.0 0.0 0.0 0.0 -0.45499206 0.37687105 2.9257429 -0.089466915 0.7330033 -0.55049706 0.3894286 -0.4213027 0.45454484 2.6725168 -0.7738948 0.59727263 0.19890018 -0.06921731 -0.32299784 0.5711583 2.4792566 -0.78960395 0.21907155 -0.30721962 0.48389018 -0.30253428 0.65555936 2.3870907 -0.8090853 0.21149774 -0.41374657 0.35981023 -0.21882911 0.4866128 3.0283442 0.26399142 0.5409879 0.78734416 -0.13315317 -0.041148126 0.5568039 2.8695786 -0.8161807 0.41215396 0.07941813 0.39707786 -0.032838035 0.69303226 2.68862 -0.5692644 0.3355891 0.6710674 -0.33613473 0.0052051 0.7768471 2.6509464 -0.496775 0.17866082 0.8328789 -0.16615605 -0.43951583 -0.016273726 3.1760898 -0.1505043 0.5909237 -0.68540275 0.3979687 -0.47286448 -0.3683212 3.16576 -0.068188496 0.8566712 -0.01428344 -0.51113683 -0.6310831 -0.62835705 3.3222742 -0.0852622 -0.875607 0.25414738 0.40181085 -0.5658281 -0.7367835 3.2501545 0.0 0.0 0.0 0.0 -0.31856054 -0.015023081 3.2228045 0.060576107 0.66531235 0.7111899 -0.218858 -0.3299021 -0.33932638 3.151541 -0.036766775 0.5618242 -0.07230284 0.82327044 -0.44707718 -0.7109097 3.2972317 0.196787 0.5098602 0.09398032 0.8321569 -0.39892805 -0.79610795 3.2229087 0.0 0.0 0.0 0.0 -0.34348372 0.43510514 3.0199356 0.25182182 -0.015146643 0.9383837 -0.23620415 -0.2192283 0.69584364 2.3853455 0.0 0.0 0.0 0.0 -0.25915632 0.6370001 2.3852077 0.0 0.0 0.0 0.0 -0.012985555 0.83164895 2.6241505 0.0 0.0 0.0 0.0 -0.031417567 0.77400076 2.6245203 0.0 0.0 0.0 0.0 
33 0.17735384 1.181165 3.0781476 0 0 0 0 0.40019542 0.36818767 140.10672 0.66503906 0.6171875 -0.42630792 -0.0241122 3.2840958 0.21325293 9.706635E-4 0.9498914 -0.22853562 -0.39989468 0.23558623 3.1603055 0.22742353 -0.0055737374 0.9466676 -0.2281841 -0.364672 0.4892449 3.0164511 0.20576808 0.0024753006 0.9414345 -0.26712283 -0.34839863 0.6250546 2.9673564 0.0 0.0 0.0 0.0 -0.48978043 0.35839832 2.9745564 -0.07863771 0.76895905 -0.52536935 0.3556757 -0.3849146 0.4272321 2.7390063 -0.71787834 0.6104005 0.33433095 -0.016879287 -0.22097717 0.552645 2.6186988 -0.81347597 0.03286538 -0.28383836 0.5065694 -0.18172935 0.6410481 2.5457132 -0.84905237 0.02804345 -0.3631186 0.3827122 -0.25264454 0.48419008 3.0502543 0.25004473 0.49305704 0.8133303 -0.18129058 -0.095150754 0.51560766 2.8569534 -0.73003733 0.48083985 0.013789721 0.4854363 -0.15597114 0.6325867 2.6980524 -0.7946947 0.28075695 0.46925992 -0.26349765 -0.1410447 0.7051028 2.6491876 -0.6395813 0.054754473 0.724653 -0.25063086 -0.4762886 -0.028647345 3.2183712 -0.17633587 0.57995 -0.6719844 0.42544186 -0.5641823 -0.3575533 3.1878316 -0.14261195 0.7868813 -0.07067517 -0.5962253 -0.6903027 -0.58700216 3.3812287 -0.14549887 -0.857478 0.28566992 0.40243545 -0.6054214 -0.69082105 3.2933106 0.0 0.0 0.0 0.0 -0.35739326 -0.019813657 3.2676554 0.08274861 0.6404279 0.73465705 -0.20804748 -0.35202122 -0.35597992 3.2162411 -0.046711206 0.5043833 -0.058439456 0.8602327 -0.48350108 -0.7228876 3.3473988 0.21819445 0.4126597 0.076555565 0.8810462 -0.41564888 -0.79746836 3.2711482 0.0 0.0 0.0 0.0 -0.37477875 0.42624098 3.057277 0.20816138 6.0521346E-4 0.94674385 -0.24565104 -0.10433478 0.66807246 2.5413647 0.0 0.0 0.0 0.0 -0.11911273 0.5904978 2.5846572 0.0 0.0 0.0 0.0 -0.16970846 0.77001965 2.6160958 0.0 0.0 0.0 0.0 -0.18841279 0.6998621 2.6521082 0.0 0.0 0.0 0.0 
