idx,x,y,z
0,-0.98036236,-0.8356843,3.2871094
1,-0.5578105,-0.75247586,3.6574874
2,-0.99360275,-0.8380298,3.2947972
3,0.60640305,-0.7804401,3.4397042
4,0.15433137,-0.87852633,2.8401074
5,-0.6557857,-0.82964754,3.0110419
6,-0.65717643,-0.8346337,3.0182874
